,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
277,277,Lance Stephenson,SG,27,IND,82,1850,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2,1.8,-2,-0.1,-2,0,22.6,3.7,8.6,0.427,0.8,2.8,0.289,2.9,5.8,0.495,0.475,0.661,9.2,1.7,2.8,59.1,0.1,0.4,30.6,0.2,0.5,51.4,0.6,1.6,41.4,0.4,1.3,33.3,0.5,1.9,29.4
278,278,Jayson Tatum,SF,19,BOS,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,-0.5,1.5,1,1.8,30.5,5,10.4,0.475,1.3,3,0.434,3.7,7.4,0.492,0.538,0.826,13.9,2.3,4,57.4,0.1,0.5,23.1,0.3,0.8,37.7,0.7,1.6,43.3,1,1.9,49.4,0.7,1.7,38.5
279,279,Isaiah Taylor,PG,23,ATL,67,1167,10.9,0.492,0.205,0.362,2.1,6.9,4.5,27,1.4,0.7,15.7,20.1,0.2,0.5,0.6,-2.9,-2.5,-5.4,-1,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,0.702,6.6,1.6,2.9,55.4,0.3,0.8,39.2,0.1,0.6,18.4,0,0.1,25,0.3,0.8,36.5,0.1,0.6,17.1
280,280,Jeff Teague,PG,29,MIN,70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,1.5,-1.3,0.2,1.3,33,5.1,11.3,0.446,1.2,3.3,0.368,3.9,8.1,0.477,0.499,0.845,14.2,1.9,3.2,59.6,0.9,2.3,37.7,0.7,1.6,42.9,0.3,0.8,42.1,0.5,1.4,38,0.7,1.9,36
281,281,Garrett Temple,SG,31,SAC,65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,-1.3,-0.6,-1.8,0.1,24.8,3.1,7.3,0.418,1.4,3.5,0.392,1.7,3.8,0.442,0.512,0.769,8.4,0.7,1.3,56.5,0.1,0.3,27.8,0.2,0.5,46.9,0.5,1.3,37.8,0.9,2.3,38.9,0.6,1.6,40
282,282,Miloš Teodosic,PG,30,LAC,45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.8,-2.2,-1.4,0.2,25.2,3.4,8,0.419,2,5.2,0.379,1.4,2.8,0.492,0.542,0.848,9.5,0.4,0.6,64.3,0,0.2,25,0.3,0.4,57.9,0.5,1.2,43.4,0.8,1.8,43.8,1.4,3.8,36.5
283,283,Jason Terry,SG,40,MIL,51,814,8.1,0.525,0.747,0.058,0.7,6.2,3.5,9.7,2.6,1.4,13.7,10.1,0.1,0.6,0.7,-1.6,-0.5,-2.1,0,16,1.2,3,0.383,0.8,2.3,0.348,0.4,0.8,0.487,0.513,0.889,3.3,0.2,0.3,57.1,0,0.1,0,0.1,0.2,62.5,0.1,0.2,55.6,0.5,1.4,39.1,0.3,1,28
284,284,Daniel Theis,C,25,BOS,63,936,16.1,0.616,0.249,0.348,10.7,21.2,16,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,-0.8,3.4,2.6,1.1,14.9,2,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,0.753,5.3,1.3,1.9,68.9,0.1,0.2,41.7,0.1,0.2,53.3,0.2,0.4,47.8,0.2,0.5,40,0.1,0.5,23.5
285,285,Lance Thomas,PF,29,NYK,73,1353,6.3,0.513,0.464,0.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,0.3,0.6,0.9,-2.1,-0.5,-2.6,-0.2,18.5,1.4,3.7,0.382,0.7,1.7,0.403,0.7,2,0.364,0.476,0.83,4.1,0.4,1,43.8,0.1,0.3,18.2,0,0.1,37.5,0.1,0.3,32,0.5,1.2,42.4,0.3,0.7,35.8
286,286,Klay Thompson,SG,27,GSW,73,2506,16,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,1.8,-2.4,-0.6,0.9,34.3,7.9,16.2,0.488,3.1,7.1,0.44,4.7,9,0.526,0.585,0.837,20,1.4,2.2,65,0.2,0.6,35.6,0.8,1.7,49.2,1.6,3.2,50,1.9,3.7,50.5,1.9,4.6,41.2
287,287,Tristan Thompson,C,26,CLE,53,1072,13.6,0.569,0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,-1.6,-0.9,-2.5,-0.1,20.2,2.5,4.4,0.562,0,0,0,2.5,4.4,0.562,0.562,0.544,5.8,2.1,3.3,63.8,0.3,0.8,36.6,0.1,0.2,33.3,0,0.1,33.3,0,0,0,0,0,0
288,288,Sindarius Thornwell,SG,23,LAC,73,1156,8.2,0.519,0.262,0.378,3.2,10,6.7,7.8,2,1.8,16.3,12.1,0.1,0.9,1,-2.6,1,-1.6,0.1,15.8,1.4,3.2,0.429,0.3,0.8,0.377,1.1,2.4,0.448,0.479,0.67,3.9,0.8,1.7,45.6,0.2,0.4,37.9,0.1,0.2,50,0,0.1,28.6,0.3,0.6,44.2,0.1,0.4,38.5
